KEY_CODE,T000918001,T000918002,T000918003,T000918004,T000918005,T000918006,T000918007,T000918008,T000918009,T000918010,T000918011,T000918012,T000918013,T000918014,T000918015,T000918016,T000918017,T000918018,T000918019,T000918020,T000918021,T000918022,T000918023,T000918024,T000918025,T000918026,T000918027,T000918028,T000918029,T000918030,T000918031,T000918032,T000918033,T000918034,T000918035,T000918036,T000918037,T000918038,T000918039,T000918040
,Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj,ÇbÅ`ÇdëÊÇQéüéYã∆,Çbçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,Çcåöê›ã∆,Çdêªë¢ã∆,ÇeÅ`ÇqëÊÇRéüéYã∆,ÇeìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfèÓïÒí êMã∆,Çgâ^óAã∆ÅCóXï÷ã∆,ÇhâµîÑã∆ÅCè¨îÑã∆,Çiã‡óZã∆ÅCï€åØã∆,ÇjïsìÆéYã∆ÅCï®ïií¿ë›ã∆,Çkäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,Çlèhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,Çmê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,Çnã≥àÁÅCäwèKéxâáã∆,Çoà„ó√ÅCïüéÉ,Çpï°çáÉTÅ[ÉrÉXéñã∆,ÇqÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj,ÇbÅ`ÇdëÊÇQéüéYã∆,Çbçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,Çcåöê›ã∆,Çdêªë¢ã∆,ÇeÅ`ÇqëÊÇRéüéYã∆,ÇeìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfèÓïÒí êMã∆,Çgâ^óAã∆ÅCóXï÷ã∆,ÇhâµîÑã∆ÅCè¨îÑã∆,Çiã‡óZã∆ÅCï€åØã∆,ÇjïsìÆéYã∆ÅCï®ïií¿ë›ã∆,Çkäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,Çlèhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,Çmê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,Çnã≥àÁÅCäwèKéxâáã∆,Çoà„ó√ÅCïüéÉ,Çpï°çáÉTÅ[ÉrÉXéñã∆,ÇqÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,íj-Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj,èó-Ç`Å`ÇqëSéYã∆ÅiÇråˆñ±ÇèúÇ≠Åj
513500864,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
513500871,4,0,0,0,0,4,0,0,0,1,0,1,0,1,1,0,0,0,0,15,0,0,0,0,15,0,0,0,2,0,1,0,10,2,0,0,0,0,5,10
513500873,7,4,0,3,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,30,21,0,15,6,9,0,0,0,8,0,1,0,0,0,0,0,0,0,19,11
513500883,10,0,0,0,0,10,0,0,0,2,1,3,0,3,0,0,0,1,0,29,0,0,0,0,29,0,0,0,5,1,4,0,17,0,0,0,2,0,10,19
513500971,6,1,0,1,0,5,0,0,0,1,0,1,0,3,0,0,0,0,0,23,12,0,12,0,11,0,0,0,3,0,1,0,7,0,0,0,0,0,15,8
513500972,58,10,0,3,7,48,0,0,0,24,1,13,0,1,4,1,1,0,3,177,25,0,5,20,152,0,0,0,84,11,16,0,1,6,1,13,0,20,101,76
513500974,21,5,0,4,1,16,0,0,0,7,0,3,0,2,3,1,0,0,0,54,22,0,8,14,32,0,0,0,20,0,3,0,3,4,2,0,0,0,25,29
513500981,40,7,0,1,6,33,0,0,0,14,0,15,0,0,2,0,2,0,0,133,28,0,2,26,105,0,0,0,78,0,18,0,0,4,0,5,0,0,55,78
513500982,14,3,0,2,1,11,0,0,0,6,0,2,2,0,1,0,0,0,0,30,9,0,6,3,21,0,0,0,12,0,3,5,0,1,0,0,0,0,21,9
